State,Percent_STEM_Workers_Female
Alabama,0.27
Alaska,0.25
Arizona,0.27
Arkansas,0.30
California,0.29
Colorado,0.29
Connecticut,0.30
Delaware,0.30
District of Columbia,0.44
Florida,0.29
Georgia,0.28
Hawaii,0.30
Idaho,0.26
Illinois,0.28
Indiana,0.26
Iowa,0.32
Kansas,0.29
Kentucky,0.27
Louisiana,0.28
Maine,0.29
Maryland,0.34
Massachusetts,0.32
Michigan,0.27
Minnesota,0.30
Mississippi,0.33
Missouri,0.31
Montana,0.32
Nebraska,0.26
Nevada,0.31
New Hampshire,0.25
New Jersey,0.29
New Mexico,0.25
New York,0.31
North Carolina,0.31
North Dakota,0.32
Ohio,0.29
Oklahoma,0.25
Oregon,0.28
Pennsylvania,0.30
Rhode Island,0.30
South Carolina,0.28
South Dakota,0.28
Tennessee,0.30
Texas,0.27
Utah,0.24
Vermont,0.34
Virginia,0.30
Washington,0.26
West Virginia,0.26
Wisconsin,0.28
Wyoming,0.33
,