Geography,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races
Alabama,3325037,1282053,23919,60744,2008,85412
Alaska,483518,24443,103574,44218,8862,62340
Arizona,5235158,287110,296732,205229,12863,222579
Arkansas,2307136,460638,18697,41539,6738,66079
California,23680584,2261835,285512,5354608,150908,1787159
Colorado,4517058,219349,50160,157523,7441,183735
Connecticut,2768080,372696,9399,152782,1031,106988
Delaware,647002,203027,3494,34428,461,25831
District of Columbia,266035,318598,2174,24036,271,18245
Florida,15130748,3216994,52904,521272,11288,495368
Georgia,6039389,3148134,28950,373983,4916,222457
Hawaii,353643,25871,2715,537363,143973,336629
Idaho,1493155,10433,21454,21630,2003,42050
Illinois,9270907,1837612,29399,655799,4186,300222
Indiana,5534759,608226,15799,130232,2746,146316
Iowa,2823890,103052,9951,66570,2422,61294
Kansas,2468923,167706,23871,77605,1874,96030
Kentucky,3859516,350242,9052,57084,2584,92837
Louisiana,2909290,1494201,26403,78719,1464,85159
Maine,1260476,16303,8013,14643,211,27126
Maryland,3408240,1765926,15946,362259,2792,186153
Massachusetts,5343665,489233,13931,411736,2002,203014
Michigan,7817827,1376446,52891,276769,2492,271798
Minnesota,4597525,310853,56904,246819,1969,148502
Mississippi,1764038,1121327,13072,28562,492,35367
Missouri,5000875,701896,25641,107953,6479,148041
Montana,911907,4260,67222,7481,841,26522
Nebraska,1655708,88388,15739,39794,1305,43653
Nevada,1933057,243552,31927,222612,18334,129036
New Hampshire,1243594,17483,2085,32094,229,24906
New Jersey,6075710,1207221,18470,819208,2811,225713
New Mexico,1530636,41957,193295,29168,1340,67797
New York,12667413,3073278,75751,1599216,7528,576440
North Carolina,6882915,2137131,117479,254550,6588,243370
North Dakota,649730,14761,38369,9296,336,17979
Ohio,9519506,1421943,21459,224520,3248,298177
Oklahoma,2823497,281295,286231,77541,4969,299764
Oregon,3387825,74012,45233,160155,14936,175541
Pennsylvania,10402743,1410563,24947,401979,4463,285768
Rhode Island,854026,68886,5130,34598,575,30058
South Carolina,3252252,1322368,15417,68553,2784,100082
South Dakota,721410,14078,74187,11351,313,22239
Tennessee,5096733,1100577,18757,105368,3299,133210
Texas,20174403,3221133,128145,1175423,22248,673400
Utah,2572595,32512,31686,66039,26411,77810
Vermont,592965,7404,1984,9212,206,12169
Virginia,5712958,1596352,21948,502878,5494,279699
Washington,5470566,256990,94026,552032,44870,377703
West Virginia,1725411,63305,3281,13990,648,33726
Wisconsin,4961193,361730,51459,148077,1378,125923
Wyoming,531851,6435,13033,5385,391,15531
Puerto Rico,2448085,320087,11814,9574,182,264764